id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
2314	What is Cachapoal’s climate?	Mediterranean	Continental	Sub-continental	Maritime	Mediterranean	"wine, Location, Americas, Chile, Central Valley Chile"	3	Multiple	11
2315	Cachapoal Valley has large plantings of…	Carménère	Pinot Noir	Cabernet Franc	Mourvèdre	Carménère	"wine, Location, Americas, Chile, Central Valley Chile"	3	Multiple	11
2316	Peumo is an upcoming wine region located in…	Cachapoal Valley 	Maipo Valley	Casablanca Valley	Maule Valley	Cachapoal Valley 	"wine, Location, Americas, Chile, Central Valley Chile"	4	Multiple	11
2317	Peumo in Chile is famous for its…	Carménère	Pinot Noir	Chardonnay	Malbec	Carménère	"wine, Location, Americas, Chile, Central Valley Chile"	4	Multiple	11
2318	Curicó Valley is located in…	Chile	Australia	Brazil	Portugal	Chile	"wine, Location, Americas, Chile, Central Valley Chile"	3	Multiple	11
2319	What region in Chile can be divided into Teno and Lontue parts?	Curicó Valley	Maule Valley	Rapel Valley	Casablanca Valley	Curicó Valley	"wine, Location, Americas, Chile, Central Valley Chile"	4	Multiple	11
2320	Miguel Torres heavily invested in…	Curicó Valley	Bio Bio Valley	Maule Valley	Elqui Valley	Curicó Valley	"wine, Location, Americas, Chile, Central Valley Chile"	4	Multiple	11
2321	Maule Valley has been becoming famous for its…	Old-vine Carignan	Old-vine Syrah	Old-vine Pais	Old-vine Grenache	Old-vine Carignan	"wine, Location, Americas, Chile, Central Valley Chile"	3	Multiple	11
2322	In 1990s Kendall-Jackson invested in…	Maule Valley	Curicó Valley	Bio Bio Valley	Leyda Valley	Maule Valley	"wine, Location, Americas, Chile, Central Valley Chile"	4	Multiple	11
2323	Itata Valley is located in…	Chile	Argentina	Spain	Portugal	Chile	"wine, Location, Americas, Chile, Southern Regions of Chile"	3	Multiple	11
2324	Itata Valley is dominated by the plantings of…	Cinsaut	Carménère	Chardonnay	Pinot Gris	Cinsaut	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2325	Itata Valley’s latitude is…	36° South	32° South	40° South	46° South	36° South	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2326	What is the soil type in Itata Valley?	Sandy and clay loam	Granite and limestone	Quartz and shale	Shale and basalt	Sandy and clay loam	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2327	Itata Valley used to be dominated by the plantings of…	Pais and Muscat of Alexandria	Carignan and Syrah	Carménère and Chardonnay	Pinot Noir and Syrah	Pais and Muscat of Alexandria	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2328	Ñuble river in important for the viticulture in…	Itata Valley	Curicó Valley	Leyda Valley	Limari Valley	Itata Valley	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2329	What region in Chile is famous for growing aromatic varieties?	Bio Bio Valley	Curicó Valley	Leyda Valley	Limari Valley	Bio Bio Valley	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2330	What is one of the most southern regions in Chile?	Bio Bio Valley	Leyda Valley	Colchagua Valley	Maipo Medio	Bio Bio Valley	"wine, Location, Americas, Chile, Southern Regions of Chile"	3	Multiple	11
2331	What region lies south to the Bio Bio Valley?	Malleco Valley	Itata Valley	Curicó Valley	Rapel Valley	Malleco Valley	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2332	What is the most planted red grape in the Bio Bio Valley?	Pinot Noir	Carménère	Cabernet Sauvignon	Merlot	Pinot Noir	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2333	Riesling and Gewurztraminer can be relatively easily found in…	Bio Bio Valley	Colchagua Valley	Maipo Valley	Curicó Valley	Bio Bio Valley	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2334	What is the annual rainfall in the Malleco Valley?	Around 1300 mm	Around 800 mm	Around 500 mm	Around 300 mm	Around 1300 mm	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2335	What are the soils in the Malleco Valley?	Red clay and sandy soils	Loess	Limestone and gravel	Shist	Red clay and sandy soils	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2336	What is the latitude of the Malleco Valley?	38° South	32° South	41° South	42° South	38° South	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2337	Where does the most souther vineyard in Chile lie?	Near Coyhaique	Near Traiguén	Near San Antonio	Near Concepción	Near Coyhaique	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2338	What is the latitude of the most southern vineyard in Chile?	45° South	42° South	38° South	35° South	45° South	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2339	What is the most planted white variety in Malleco Valley?	Chardonnay	Pais	Viognier	Pinot Gris	Chardonnay	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2340	What is the most planted red variety in Malleco Valley?	Pinot Noir	Syrah	Nebbiolo	Carménère	Pinot Noir	"wine, Location, Americas, Chile, Southern Regions of Chile"	4	Multiple	11
2341	What is the largest wine producer in South America?	Argentina	Chile	Peru	Uruguay	Argentina	"wine, Location, Americas, Argentina"	2	Multiple	11
2342	What is the signature red grape variety of Argentina?	Malbec	Pinot Noir	Sauvignon Blanc	Tannat	Malbec	"wine, Location, Americas, Argentina"	2	Multiple	11
2343	What is the largest wine region in Argentina?	Mendoza	Salta	Patagonia	La Rioja	Mendoza	"wine, Location, Americas, Argentina"	2	Multiple	11
2344	What makes Argentinian vineyards unique?	Most are planted on high altitudes 	They are not irrigated	They all are organic	Most are planted next to large lakes	Most are planted on high altitudes 	"wine, Location, Americas, Argentina"	2	Multiple	11
2345	What influences the climate in Argentinian wie regions?	Rain shadow of the Andes	Large lakes	Sandy soils	Large areas of forrest	Rain shadow of the Andes	"wine, Location, Americas, Argentina"	3	Multiple	11
2346	Who owns the highest planted vineyard in the world?	Bodega Colome 	Bodega Catena Zapata	Bodegas Caro	Trapiche	Bodega Colome 	"wine, Location, Americas, Argentina"	4	Multiple	11
2347	What is the signature white grape variety of Argentina?	Torrontés	Chardonnay	Chenin Blanc	Fiano	Torrontés	"wine, Location, Americas, Argentina"	2	Multiple	11
2348	Criolla Grande and Cereza used to widely grown in…	Argentina	USA	South Africa	New Zealand	Argentina	"wine, Location, Americas, Argentina"	4	Multiple	11
2349	Where does Bodega Catena Zapata produce its wines?	Argentina	Chile	Uruguay	Brazil	Argentina	"wine, Location, Americas, Argentina, somm"	3	Multiple	11
2350	Molinos region is part of…	Salta	La Rioja	Mendoza	Rio Negro	Salta	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2351	What is the altitude of the vineyards in the Molinos region?	Up to 3000 m / 9900 ft	Up to 2000 m / 6600 ft	Up to 3300 m / 11000 ft	Up to 1200 m / 4000 ft	Up to 3000 m / 9900 ft	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2352	What is the latitude of the Molinos region?	25° S	28° S	30° S	33° S	25° S	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2353	Wines from the Molinos vineyards are usually labelled as…	Salta	Neuquén	San Juan	Famatina	Salta	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2354	What is the dominant red grape grown in Salta?	Malbec	Merlot	Tempranillo	Cabernet Franc	Malbec	"wine, Location, Americas, Argentina, Salta"	3	Multiple	11
2355	What is the dominant white grape grown in Salta?	Torrontés	Chardonnay	Sauvignon Blanc	Sémillon	Torrontés	"wine, Location, Americas, Argentina, Salta"	3	Multiple	11
2356	What is the range of temperatures in Salta’s vineyards during a day?	From 100°F / 38°C to  55°F / 12°C	From 86°F / 30°C to  64°F / 18°C	From 96°F / 36°C to  41°F / 5°C	From 71°F / 22°C to  50°F / 10°C	From 100°F / 38°C to  55°F / 12°C	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2357	Cafayate is part of…	Salta	Maipú	San Juan	Famatina	Salta	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2358	Cafayate is famous for its…	Torrontés	Chardonnay	Riesling	Syrah	Torrontés	"wine, Location, Americas, Argentina, Salta"	4	Multiple	11
2359	La Rioja has large plantings of…	Torrontés	Cabernet Sauvignon	Petit Verdot	Tannat	Torrontés	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2360	La Rioja is located in…	Argentina	Chile	Brazil	Colombia	Argentina	"wine, Location, Americas, Argentina, La Rioja & San Juan"	3	Multiple	11
2361	Famatina is part of …	La Rioja	Mendoza	Salta	Rio Negro	La Rioja	"wine, Location, Americas, Argentina, La Rioja & San Juan"	3	Multiple	11
2362	What is another name for the Bonarda grape in Argentina?	Charbono	Cereza	Mission	Côt	Charbono	"wine, Location, Americas, Argentina, grapes"	4	Multiple	11
2363	Tulum Valley is part of…	San Juan	Salta	Mendoza	La Rioja	San Juan	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2364	San Juan is part of…	Argentina	Chile	Brazil	Peru	Argentina	"wine, Location, Americas, Argentina, La Rioja & San Juan"	3	Multiple	11
2365	Pedernal Valley is part of…	San Juan	Salta	Mendoza	Bio Bio Valley	San Juan	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2366	Zonda Valley is part of…	San Juan	Famatina	Neuquén	La Rioja	San Juan	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2367	San Juan is located between…	La Rioja and Mendoza	Salta and La Rioja	Mendoza and Neuquén	Neuquén and Río Negro	La Rioja and Mendoza	"wine, Location, Americas, Argentina, La Rioja & San Juan"	3	Multiple	11
2368	What region is the second largest wine producer in Argentina?	San Juan	Mendoza	Neuquén	La Rioja	San Juan	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2369	What wind is important for the viticulture in San Juan region?	Zonda	Sirocco	Cape Doctor	Chinook	Zonda	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2370	What grape dominates the plantings in Pedernal Valley?	Malbec	Torrontés	Syrah	Sauvignon Blanc	Malbec	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2371	Zonda Valley takes its name from…	A wind	A forrest	A lake	A grape variety	A wind	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2372	What grape variety is starting to get famous in the Tulum Valley?	Syrah	Nebbiolo	Grenache	Zinfandel	Syrah	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2373	What moderated the temperatures in the Tulum Valley?	The altitude	The lakes	The irrigation	The snow	The altitude	"wine, Location, Americas, Argentina, La Rioja & San Juan"	4	Multiple	11
2374	Jujuy regon is located in…	Argentina	Chile	Brazil	Uruguay	Argentina	"wine, Location, Americas, Argentina"	4	Multiple	11
2375	Where is Fiambala region located?	Argentina	Chile	Brazil	Uruguay	Argentina	"wine, Location, Americas, Argentina"	4	Multiple	11
2376	Lujan de Cuyo is part of…	Mendoza	La Rioja	Salta	Patagonia	Mendoza	"wine, Location, Americas, Argentina, Mendoza"	3	Multiple	11
2377	Maipu is part of…	Mendoza	La Rioja	Salta	Neuquén	Mendoza	"wine, Location, Americas, Argentina, Mendoza"	3	Multiple	11
2378	Uco Valey is part of…	Mendoza	La Rioja	Cafayate	Neuquén	Mendoza	"wine, Location, Americas, Argentina, Mendoza"	3	Multiple	11
2379	Why the name of Miguel Aimé Pouget is important for Argentina?	He planted first Malbec vines	He introduced drip irrigation	He owned the first organic vineyard	He owns the biggest co-operative	He planted first Malbec vines	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2380	Why 1885 was important for Argentinian wine industry?	Mendoza and Buenos Aires got connected by railway	First vines were planted in Mendoza	First Mendoza wines were exported to Europe	Argentinian Malbec reached high prices	Mendoza and Buenos Aires got connected by railway	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2381	What is the most popular grape in Mendoza?	Malbec	Cabernet Sauvignon	Chardonnay	Grenache	Malbec	"wine, Location, Americas, Argentina, Mendoza"	2	Multiple	11
2382	Lunlunta is part of…	Mendoza	La Rioja	Cafayate	Neuquén	Mendoza	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2383	What is the altitude of the Lunlunta sub-region?	3000 ft / 900 m	330 ft / 100m	820 ft / 250 m	3000 ft / 900 m	1640 ft / 500 m	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2384	Barrancas is part of…	Maipu	Uco Valey 	Lujan de Cuyo 	Vistalba	Maipu	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2385	Bodegas Pascual Toso winery is located in…	Barrancas	Vistalba	Agrelo	San Martin	Barrancas	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2386	San Martin is part of…	Mendoza	La Rioja	Salta	Neuquén	Mendoza	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2387	Maipu’s vineyards are at latitude around…	2600 ft / 800 m	4000 ft / 1200 m	5000 ft / 1500 m	6000 ft / 1800 m	2600 ft / 800 m	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2388	What mountains bring rain shadow to the Maipu vineyards?	Andes	Sierra Nevada	Cordillera	Pirulil Range	Andes	"wine, Location, Americas, Argentina, Mendoza"	3	Multiple	11
2389	What is the most planted grape in Lujan de Cuyo?	Malbec	Cabernet Sauvignon	Merlot	Bonarda	Malbec	"wine, Location, Americas, Argentina, Mendoza"	3	Multiple	11
2390	Lujan de Cuyo lies…	South of the city of Mendoza	North of the city of Mendoza	East of the city of Mendoza	West of the city of Mendoza	South of the city of Mendoza	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2391	What year was Lujan de Cuyo recognised as an appellation?	1993	1997	1989	2000	1993	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2392	Vistalba is part of…	Lujan de Cuyo	Maipu	Uco Valey 	Neuquén	Lujan de Cuyo	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2393	Las Compuertas is gaining fame for its…	Old vines	Biodynamic producers	No need for irrigation	Clean air	Old vines	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2394	Las Compuertas is part of…	Lujan de Cuyo	Maipu	Uco Valey 	Neuquén	Lujan de Cuyo	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2395	The subregion of Perdriel is located…	South of the city of Mendoza	North of the city of Mendoza	East of the city of Mendoza	West of the city of Mendoza	South of the city of Mendoza	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2396	Perdriel is part of…	Lujan de Cuyo	Cafayate	Famatina	Rio Negro	Lujan de Cuyo	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2397	The vineyards in the Perdriel subregion lies at the altitude of…	3100 ft / 950 m	2600 ft / 800 m	5000 ft / 1500 m	1600 ft / 500 m	3100 ft / 950 m	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2398	What is not part of Lujan de Cuyo?	Neuquen	Agrelo	Ugarteche	Vistalba	Barrancas	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2399	What used to be the irrigation method in Lujan de Cuyo?	Flood irrigation	Drip irrigation	Sprinkler irrigation 	Partial rootzone drying	Flood irrigation	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2400	What is the latitude of Uco Valley?	33° S	38° S	35° S	43° S	33° S	"wine, Location, Americas, Argentina, Mendoza"	4	Multiple	11
2401	Neuquén region is part of…	Patagonia	Famatina	Mendoza	Central Valley	Patagonia	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	3	Multiple	11
2402	Where is Neuquén region located?	Argentina	Chile	Mexico	Portugal	Argentina	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	2	Multiple	11
2403	What are two dominant grape varieties planted in Neuquén?	Malbec & Pinot Noir	Malbec & Cabernet Sauvignon	Chardonnay & Riesling	Torrontés & Chardonnay	Malbec & Pinot Noir	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	4	Multiple	11
2404	What is the dominant grape planted in Neuquén?	Malbec	Sauvignon Blanc	Torrontés	Bonarda	Malbec	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	3	Multiple	11
2405	Where is Neuquén region located?	South from Mendoza	North from Mendoza	East from Mendoza	West from Mendoza	South from Mendoza	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	3	Multiple	11
2406	When was the first commercial vineyards planted in the Neuquén region?	1999	1699	1799	1899	1999	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	4	Multiple	11
2407	Bodega del Fin del Mundo was important to the development of…	Neuquén	Lujan de Cuyo	Famantina	Cafayate	Neuquén	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	4	Multiple	11
2408	What are the elevations in the Neuquén region?	1000 ft / 300 m	3100 ft / 950 m	5000 ft / 1500 m	2000 ft / 600 m	1000 ft / 300 m	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Neuquén"	4	Multiple	11
2409	Rio Negro region is part of…	Patagonia	Famatina	Mendoza	Central Valley	Patagonia	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	3	Multiple	11
2410	Where is Rio Negro region located?	Argentina	Chile	Mexico	Portugal	Argentina	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	2	Multiple	11
2411	What are two dominant grape varieties planted in Rio Negro?	Pinot Noir & Malbec	Malbec & Sauvignon Blanc	Chardonnay & Semillon	Torrontés & Riesling	Pinot Noir & Malbec	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	4	Multiple	11
2412	What is the dominant grape planted in Rio Negro?	Pinot Noir	Sauvignon Blanc	Sémillon	Bonarda	Malbec	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	3	Multiple	11
2413	What is not part of the Rio Negro valley?	Baja Valle	Alto Valle 	Valle Medio	Valle Inferior	Baja Valle	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	4	Multiple	11
2414	Most viticulture in Rio Negro takes place in…	Alto Valle 	Valle Inferior	Lujan de Cuyo	Valle Medio	Alto Valle 	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	4	Multiple	11
2415	What are the elevations in the Rio Negro region?	820 ft / 250 m	3100 ft / 950 m	2500 ft / 750 m	2000 ft / 600 m	820 ft / 250 m	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, Patagonia, Rio Negro"	4	Multiple	11
2416	Where does Bodega Chacra produce its wines?	Patagonia	Famatina	Vistalba	Salta	Patagonia	"wine, Location, Americas, Argentina, Neuquen & Rio Negro, somm, Patagonia"	4	Multiple	11
2417	What is the most important region in New Zealand?	Marlborough	Central Otago	Martinborough	Willamette Valley	Marlborough	"wine, Location, Oceania, New Zealand"	2	Multiple	11
2418	What is the dominant grape grown in New Zealand?	Sauvignon Blanc	Cabernet Sauvignon	Chardonnay	Riesling	Sauvignon Blanc	"wine, Location, Oceania, New Zealand"	2	Multiple	11
2419	What is the dominant red grape grown in New Zealand?	Pinot Noir	Syrah	Cabernet Sauvignon	Malbec	Pinot Noir	"wine, Location, Oceania, New Zealand"	2	Multiple	11
2420	When were the first vines planted in New Zealand?	1819	1839	1879	1909	1819	"wine, Location, Oceania, New Zealand"	4	Multiple	11
2421	What is the dominant climate in New Zealand’s regions?	Maritime	Constantia	Mediterranean	Subtropical	Maritime	"wine, Location, Oceania, New Zealand"	3	Multiple	11
2422	Ata Rangi produces wines in…	New Zealand	Chile	USA	Spain	New Zealand	"wine, Location, Oceania, New Zealand, somm, North Island New Zealand, Martinborough"	3	Multiple	11
2423	Kumeu River is famous for its…	Chardonnay	Riesling	Syrah	Sauvignon Blanc	Chardonnay	"wine, Location, Oceania, New Zealand, somm, North Island New Zealand, Auckland"	4	Multiple	11
2424	What is not part of the Auckland region?	Waipara	Kumeu	Matakana	Clevedon	Waipara	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2425	What makes growing grapes in the Auckland region challenging?	Humidity	Strong winds	Lack of sunshine	It is too cold	Humidity	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2426	What nationality played crucial role in the development of the Kumeu region?	Croatian	German	French	Polish	Croatian	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2427	What moderates the temperatures in the Kumeu region?	Sea breezes	Gravel soil	Irrigation	High elevation	Sea breezes	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2428	What is a famous wine from the Waiheke Island?	Stonyridge Vineyard Larose	Ata Rangi Pinot Noir	Church Road Tom	Vidal Legacy Chardonnay	Stonyridge Vineyard Larose	"wine, Location, Oceania, New Zealand, somm, North Island New Zealand, Auckland"	4	Multiple	11
2429	What grape variety can easily be found on Waiheke Island?	Cabernet Sauvignon	Gamay	Pinot Noir	Mourvèdre	Cabernet Sauvignon	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2430	Where is Matakana region located?	North from Auckland	South from Auckland	East from Auckland	West from Auckland	North from Auckland	"wine, Location, Oceania, New Zealand, North Island New Zealand, Auckland"	4	Multiple	11
2431	Where is Gisborne region located?	New Zealand	Australia	Canada	Wales	New Zealand	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	2	Multiple	11
2432	What is New Zealand's third most prolific wine region?	Gisborne	Hawke’s Bay	Martinborough	Nelson	Gisborne	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	3	Multiple	11
2433	What moderates the temperatures in the Gisborne region?	Sea breezes	Sandy soil	Frequent cloud cover	Low elevation	Sea breezes	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	4	Multiple	11
2434	Chardonnay is the dominant grape variety in…	Gisborne	Canterbury	Marlborough	Martinborough	Gisborne	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	4	Multiple	11
2435	What region in New Zealand is used for bulk production?	Gisborne	Waiheke Island	Canterbury	Central Otago	Gisborne	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	4	Multiple	11
2436	What city is the heart of the Hawke’s Bay region?	Napier	Auckland	Queenstown	Nelson	Napier	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2437	Where is the Hawke’s Bay region located?	New Zealand	South Africa	Argentina	Canada	New Zealand	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	2	Multiple	11
2438	What is New Zealand's second most prolific wine region?	Hawke’s Bay	Central Otago	Martinborough	Nelson	Hawke’s Bay	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	3	Multiple	11
2439	What is the total size of the Gimblett Gravels vineyards?	Around 1500 acres / 600 ha	Around 500 acres / 200 ha	Around 7500 acres / 3000 ha	Around 3700 acres / 1500 ha	Around 1500 acres / 600 ha	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2440	What river helped create the Gimblett Gravels vineyards?	Ngaruroro	Kumeu	Waikato	Whanganui	Ngaruroro	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2441	What is the climate in Hawke’s Bay?	Maritime	Continental	Mediterranean	Tropical	Maritime	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	3	Multiple	11
2442	Where is Craggy Range Le Sol produced?	Hawke’s Bay	Gisborne	Marlborough	Waiheke Island	Hawke’s Bay	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay, somm"	4	Multiple	11
2443	Where is Trinity Hill Homage produced?	Hawke’s Bay	Central Otago	Marlborough	Canterbury	Hawke’s Bay	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay, somm"	4	Multiple	11
2444	What is the latitude of the Hawke’s Bay region?	39° S	37° N	41° S	45° S	39° S	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2445	What is the number of heat degree days for Hawke’s Bay?	1470	1990	1590	1240	1470	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2446	What is not an important valley in the Hawke’s Bay region?	Wairau Valley	Esk Valley	Tutaekuri Valley	Ngaruroro Valley	Wairau Valley	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay"	4	Multiple	11
2447	What producer does not produce wines in Hawke’s Bay?	Milton	Te Mata	Mission Estate	Craggy Range	Milton	"wine, Location, Oceania, New Zealand, North Island New Zealand, Hawke’s Bay, somm"	4	Multiple	11
2448	What was New Zealand's First Organic & Biodynamic Wine Estate?	Milton	Felton Road	Pyramid Valley	Kumeu River	Milton	"wine, Location, Oceania, New Zealand, North Island New Zealand, Gisborne"	4	Multiple	11
2449	Where is the Wairarapa region located?	New Zealand	USA	Chile	Uruguay	New Zealand	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	3	Multiple	11
2450	Gladstone is part of…	Wairarapa	Gisborne	Hawke’s Bay	Marlborough	Wairarapa	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	4	Multiple	11
2451	Masterton is part of…	Wairarapa	Canterbury	Nelson	Central Otago	Wairarapa	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	4	Multiple	11
2452	What is the dominant grape grown in Martinborough?	Pinot Noir	Sauvignon Blanc	Syrah	Pinot Grigio	Pinot Noir	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa, grapes"	3	Multiple	11
2453	What is an important part of the Martinborough region?	Martinborough Terrace	Martinborough Valley	Martinborough Hills	Martinborough Plateau	Martinborough Terrace	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	4	Multiple	11
2454	Martinborough is part of…	Wairarapa	Canterbury	Nelson	Marlborough	Wairarapa	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	4	Multiple	11
2455	Martinborough region is located in…	New Zealand	England	USA	Croatia	New Zealand	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	2	Multiple	11
2456	Martinborough’s climate is considered to be similar to…	Burgundy	Bordeaux	Rhône Valley	Languedoc	Burgundy	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	3	Multiple	11
2457	What is the name of the annual wine festival in Martinborough?	Martinborough Toast	Martinborough Vintage	Martinborough Vines	Martinborough Terrace	Martinborough Toast	"wine, Location, Oceania, New Zealand, North Island New Zealand, Wairarapa"	4	Multiple	11
2458	Where is Nelson region located?	New Zealand	Australia	Germany	Uruguay	New Zealand	"wine, Location, Oceania, New Zealand, South Island New Zealand, Nelson"	2	Multiple	11
2459	How much of al the plantings does Sauvignon Blanc take in Marlborough?	About 80%	About 88%	About 67%	About 92%	About 80%	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	4	Multiple	11
2460	How much of Marlborough Sauvignon Blanc is exported in bulk?	About 40%	About 60%	About 75%	About 15%	About 40%	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	4	Multiple	11
2461	What is a common name for Sauvignon Blanc?	Sav	Chenin Blanc	Blanco	Kiwi	Sav	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough, grapes"	3	Multiple	11
2462	What is the second planted variety is Marlborough?	Pinot Noir	Riesling	Albariño	Pinot Gris	Pinot Noir	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	3	Multiple	11
